id;opcao_texto;correcta;questao_questionario_id
202;Em todas as direcções;true;70
203;Na direcção horizontal;false;70
204;Na direcção vertical;false;70

205;Pressão hidrostática;true;71
206;Expansão térmica;false;71
207;Capilaridade;false;71

208;Rodando periodicamente os reservatórios;true;72
209;Não é necessária qualquer acção ;false;72
210;Aquecendo a água na bacia;false;72

211;Atmosférica;true;73
212;Relativa;false;73
213;Vácuo absoluto;false;73

214;Equilíbrio de um líquido;true;74
215;Temperatura de um líquido;false;74
216;Cor de um líquido;false;74

217;A velocidade constante;true;75
218;A velocidade crescente;false;75
219;Nenhuma das anteriores;false;75

220;Intermitente;true;76
221;Contínuo;false;76
222;Nenhuma das anteriores;false;76

223;milímetro;true;77
224;metro;false;77
225;decímetro;false;77

226;Diâmetro interno de tubos ;true;78
227;Ângulo;false;78
228;Espessura;false;78

229;Ângulos diédricos;true;79
230;Esfericidade;false;79
231;Tempo;false;79

232;Espessura;true;80
233;Massa;false;80
234;Tempo;false;80

235;Ângulo;true;81
236;Comprimento;false;81
237;Temperatura;false;81

238;milímetro;true;82
239;volt;false;82
240;ohm;false;82

241;Áreas;true;83
242;Volumes;false;83
243;Comprimentos;false;83

244;Momentos de forças;true;84
245;Forças elásticas;false;84
246;Forças magnéticas;false;84

247;Duas forças gravíticas;true;85
248;Uma força gravítica e uma força elástica;false;85
249;Uma força gravítica e uma força eléctrica;false;85

250;Princípio de Arquimedes;true;86
251;Princípio de Pascal;false;86
252;Princípio de Bernoulli;false;86

253;A densidade de um líquido;true;87
254;A massa de um sólido;false;87
255;A densidade de um sólido;false;87

256;Massas aferidas;true;88
257;Cargas eléctricas conhecidas;false;88
258;Massas não aferidas;false;88

259;101 kg;true;89
260;500 kg;false;89
261;1000 kg;false;89

262;Uma balança;true;90
263;Um dinamómetro;false;90
264;Um termómetro;false;90

265;Dinamómetro de mola em hélice;true;91
266;Esferómetro;false;91
267;Barómetro;false;91

268;Forças;true;92
269;Velocidades;false;92
270;Campos magéticos;false;92

271;Máquinas Simples;true;93
272;Torniquetes;false;93
273;Barómetros;false;93

274;Máquinas Simples;true;94
275;Bússolas;false;94
276;Balanças;false;94

277;Máquinas Simples;true;95
278;Motores eléctricos;false;95
279;Máquinas a vapor;false;95

280;Máquinas Simples;true;96
281;Aparelhos de medição;false;96
282;Máquinas a vapor;false;96

283;Alterar a direcção do movimento;true;97
284;Triturar cereais;false;97
285;Elevar água;false;97

286;Máquinas Simples;true;98
287;Motores eléctricos;false;98
288;Torniquetes;false;98

289;Energia cinética em energia potencial gravítica;true;99
290;Energia potencial gravítica em energia cinética;false;99
291;Energia térmica em energia potencial gravítica;false;99

292;Na diferença de raio de dois veios;true;100
293;Na diferença de comprimento de dois veios;false;100
294;Na diferença de altura de dois veios;false;100

295;Translacção em movimento de rotação;true;101
296;Rotação em movimento de translacção;false;101
297;Translacção em movimento oscilatório;false;101

298;Energia potencial gravítica em energia cinética de rotação;true;102
299;Energia térmica em energia cinética de rotação;false;102
300;Energia química em energia cinética de rotação;false;102

301;Energia térmica em energia cinética de rotação;true;103
302;Energia térmica em energia eléctrica;false;103
303;Energia térmica em energia potencial gravítica;false;103



307;Do momento linear;true;105
308;Da energia cinética;false;105
309;Da energia potencial gravítica;false;105

310;Forças verticais;true;106
311;Forças horizontais;false;106
312;Forças oblíquas;false;106

313;Densidade relativa;true;107
314;Massa;false;107
315;Temperatura;false;107

316;O movimento de rotação da Terra;true;108
317;O movimento de translação da Terra;false;108
318;A existência do campo magnético terrestre;false;108

319;As leis da refracção;true;109
320;A segunda lei de Newton;false;109
321;A lei de Faraday;false;109

322;Imagens não deformadas;true;110
323;Imagens deformadas;false;110
324;Imagens tridimensionais;false;110

325;Visualizar uma imagem tridimesnsional;true;111
326;Ouvir o batimento cardíaco;false;111
327;Ouvir um som estereofónico;false;111

328;Ambas convergentes;true;112
329;A objectiva convergente e a ocular divergente;false;112
330;A objectiva divergente e a ocular convergente;false;112

331;A objectiva convergente e a ocular divergente;true;113
332;Ambas convergentes;false;113
333;A objectiva divergente e a ocular convergente;false;113

334;Direita;true;114
335;Invertida;false;114
336;Rodada de 90°;false;114

337;Radiómetro de Crookes;true;115
338;Teodolito;false;115
339;Ovo eléctrico;false;115

340;Açucares;true;116
341;Sais;false;116
342;Metais;false;116

343;Duas refracções e duas reflexões;true;117
344;Duas refracções e nenhuma reflexão;false;117
345;Duas reflexões e nenhuma refracção;false;117

346;Planas, convexas ou côncavas;true;119
347;Sempre planas;false;119
348;Côncavas ou convexas;false;119

349;Convexo;true;120
350;Côncavo;false;120
351;Plano;false;120

352;Ângulos verticais e horizontais;true;121
353;Pressão atmosférica;false;121
354;Temperatura;false;121
